desired_joint, measured_joint
0.349065, 0.377744
0.349059, 0.377744
0.349043, 0.377744
0.349012, 0.377744
0.348961, 0.377744
0.348886, 0.377744
0.348782, 0.377744
0.348645, 0.377744
0.348472, 0.377744
0.348257, 0.377744
0.347998, 0.377744
0.34769, 0.377744
0.347331, 0.377744
0.346916, 0.377648
0.346442, 0.377552
0.345907, 0.377456
0.345307, 0.377073
0.344639, 0.376593
0.343901, 0.376114
0.34309, 0.37573
0.342204, 0.375155
0.341239, 0.374196
0.340195, 0.373238
0.339069, 0.372375
0.337859, 0.371416
0.336563, 0.370361
0.33518, 0.369115
0.333707, 0.367677
0.332143, 0.366431
0.330487, 0.365376
0.328738, 0.363938
0.326894, 0.3625
0.324954, 0.36039
0.322918, 0.358377
0.320784, 0.357227
0.318552, 0.355789
0.316221, 0.354159
0.313791, 0.35157
0.311261, 0.349173
0.30863, 0.347064
0.305899, 0.345051
0.303067, 0.34275
0.300135, 0.339873
0.297101, 0.336997
0.293967, 0.334792
0.290733, 0.332587
0.287399, 0.329231
0.283964, 0.325684
0.280431, 0.322233
0.276798, 0.319932
0.273068, 0.317439
0.26924, 0.314275
0.265315, 0.309673
0.261295, 0.305263
0.257179, 0.302962
0.25297, 0.300373
0.248667, 0.296155
0.244273, 0.292032
0.239788, 0.287334
0.235215, 0.283883
0.230553, 0.281486
0.225804, 0.277268
0.220971, 0.272186
0.216053, 0.267393
0.211054, 0.264421
0.205975, 0.261257
0.200816, 0.256559
0.195581, 0.250902
0.190271, 0.245533
0.184887, 0.243041
0.179431, 0.239877
0.173906, 0.235371
0.168314, 0.228276
0.162656, 0.222236
0.156935, 0.218593
0.151152, 0.215333
0.14531, 0.210348
0.139411, 0.20402
0.133457, 0.197692
0.127451, 0.194912
0.121394, 0.192323
0.11529, 0.185996
0.10914, 0.178134
0.102946, 0.172382
0.0967121, 0.168642
0.0904395, 0.16452
0.084131, 0.158672
0.0777891, 0.151481
0.0714162, 0.145153
0.0650148, 0.141606
0.0585875, 0.137579
0.0521369, 0.132402
0.0456655, 0.125211
0.0391758, 0.118788
0.0326704, 0.115528
0.026152, 0.111693
0.0196232, 0.106133
0.0130865, 0.0968328
0.00654455, 0.0907927
-2.77556e-17, 0.0879165
-0.00654455, 0.085232
-0.0130865, 0.0790961
-0.0196232, 0.071522
-0.026152, 0.0649067
-0.0326704, 0.0620305
-0.0391758, 0.0590584
-0.0456655, 0.052539
-0.0521369, 0.0458278
-0.0585875, 0.0384455
-0.0650148, 0.0356651
-0.0714162, 0.0325013
-0.0777891, 0.0254066
-0.084131, 0.0179284
-0.0904395, 0.010642
-0.0967121, 0.00431433
-0.102946, -0.000862866
-0.10914, -0.00680706
-0.11529, -0.0130389
-0.121394, -0.0192707
-0.127451, -0.0259819
-0.133457, -0.0323095
-0.139411, -0.0391166
-0.14531, -0.0443897
-0.151152, -0.050238
-0.156935, -0.0566616
-0.162656, -0.0620305
-0.168314, -0.0684541
-0.173906, -0.0744941
-0.179431, -0.0793837
-0.184887, -0.0856155
-0.190271, -0.0907927
-0.195581, -0.0957782
-0.200816, -0.101531
-0.205975, -0.106133
-0.211054, -0.109968
-0.216053, -0.114761
-0.220971, -0.120705
-0.225804, -0.125499
-0.230553, -0.12943
-0.235215, -0.132594
-0.239788, -0.137196
-0.244273, -0.141702
-0.248667, -0.147071
-0.25297, -0.150139
-0.257179, -0.153015
-0.261295, -0.15685
-0.265315, -0.161356
-0.26924, -0.165766
-0.273068, -0.168547
-0.276798, -0.171231
-0.280431, -0.174491
-0.283964, -0.178709
-0.287399, -0.182352
-0.290733, -0.185037
-0.293967, -0.18705
-0.297101, -0.19031
-0.300135, -0.193857
-0.303067, -0.196925
-0.305899, -0.19961
-0.30863, -0.201335
-0.311261, -0.203924
-0.313791, -0.206896
-0.316221, -0.209868
-0.318552, -0.211977
-0.320784, -0.213703
-0.322918, -0.215908
-0.324954, -0.218305
-0.326894, -0.22051
-0.328738, -0.222044
-0.330487, -0.223482
-0.332143, -0.225304
-0.333707, -0.227317
-0.33518, -0.228755
-0.336563, -0.229618
-0.337859, -0.230673
-0.339069, -0.231823
-0.340195, -0.233549
-0.341239, -0.2347
-0.342204, -0.235275
-0.34309, -0.235946
-0.343901, -0.236713
-0.344639, -0.237768
-0.345307, -0.238822
-0.345907, -0.239206
-0.346442, -0.239685
-0.346916, -0.240356
-0.347331, -0.240931
-0.34769, -0.241315
-0.347998, -0.241507
-0.348257, -0.241794
-0.348472, -0.242082
-0.348645, -0.24237
-0.348782, -0.242657
-0.348886, -0.242849
-0.348961, -0.242945
-0.349012, -0.243041
-0.349043, -0.243041
-0.349059, -0.243137
-0.349065, -0.243137
-0.349066, -0.243137
-0.349066, -0.243232
-0.349066, -0.243137
-0.349066, -0.243232
-0.349066, -0.243137
-0.349066, -0.243137
-0.349066, -0.243232
-0.349066, -0.243232
-0.349066, -0.243232
-0.349066, -0.243232
-0.349066, -0.243232
-0.349066, -0.243232
-0.349066, -0.243232
-0.349066, -0.243232
-0.349066, -0.243232
-0.349066, -0.243232
-0.349066, -0.243232
-0.349066, -0.243232
-0.349066, -0.243232
-0.349066, -0.243328
-0.349066, -0.243328
-0.349066, -0.243232
-0.349066, -0.243232
-0.349066, -0.243232
-0.349066, -0.243232
-0.349066, -0.243232
-0.349066, -0.243232
-0.349066, -0.243328
-0.349066, -0.243328
-0.349066, -0.243232
-0.349066, -0.243328
-0.349066, -0.243328
-0.349066, -0.243328
-0.349066, -0.243232
-0.349066, -0.243328
-0.349066, -0.243328
-0.349066, -0.243328
-0.349066, -0.243328
-0.349066, -0.243328
-0.349066, -0.243328
-0.349066, -0.243232
-0.349066, -0.243328
-0.349066, -0.243328
-0.349066, -0.243328
-0.349066, -0.243328
-0.349066, -0.243328
-0.349066, -0.243328
-0.349066, -0.243328
-0.349066, -0.243328
-0.349066, -0.243232
-0.349066, -0.243328
-0.349066, -0.243328
-0.349066, -0.243328
-0.349066, -0.243328
-0.349066, -0.243328
-0.349066, -0.243328
-0.349066, -0.243328
-0.349066, -0.243328
-0.349066, -0.243328
-0.349066, -0.243328
-0.349066, -0.243328
-0.349066, -0.243328
-0.349066, -0.243328
-0.349066, -0.243328
-0.349066, -0.243328
-0.349066, -0.243328
-0.349066, -0.243328
-0.349066, -0.243328
-0.349066, -0.243328
-0.349066, -0.243328
-0.349066, -0.243328
-0.349066, -0.243328
-0.349066, -0.243328
-0.349066, -0.243232
-0.349066, -0.243328
-0.349066, -0.243328
-0.349066, -0.243328
-0.349066, -0.243328
-0.349066, -0.243328
-0.349066, -0.243328
-0.349066, -0.243328
-0.349066, -0.243328
-0.349066, -0.243328
-0.349066, -0.243328
-0.349066, -0.243328
-0.349066, -0.243328
-0.349066, -0.243328
-0.349066, -0.243328
-0.349066, -0.243328
-0.349066, -0.243328
-0.349066, -0.243328
-0.349066, -0.243328
-0.349066, -0.243328
-0.349066, -0.243328
-0.349066, -0.243328
-0.349066, -0.243328
-0.349066, -0.243328
-0.349066, -0.243328
-0.349066, -0.243328
-0.349066, -0.243328
-0.349066, -0.243328
-0.349066, -0.243328
-0.349066, -0.243328
-0.349066, -0.243328
-0.349066, -0.243328
-0.349066, -0.243328
-0.349066, -0.243328
-0.349066, -0.243328
-0.349066, -0.243328
-0.349066, -0.243328
-0.349066, -0.243328
-0.349066, -0.243328
-0.349066, -0.243328
-0.349066, -0.243328
-0.349066, -0.243328
-0.349066, -0.243328
-0.349066, -0.243328
-0.349066, -0.243328
-0.349066, -0.243328
-0.349066, -0.243328
-0.349066, -0.243424
-0.349066, -0.243328
-0.349066, -0.243328
-0.349066, -0.243328
-0.349066, -0.243328
-0.349066, -0.243328
-0.349066, -0.243328
-0.349066, -0.243328
-0.349066, -0.243328
-0.349066, -0.243328
-0.349066, -0.243328
-0.349066, -0.243328
-0.349066, -0.243328
-0.349066, -0.243328
-0.349066, -0.243328
-0.349066, -0.243328
-0.349066, -0.243328
-0.349066, -0.243328
-0.349066, -0.243328
-0.349066, -0.243328
-0.349066, -0.243328
-0.349066, -0.243328
-0.349066, -0.243328
-0.349066, -0.243328
-0.349066, -0.243424
-0.349066, -0.243328
-0.349066, -0.243328
-0.349066, -0.243232
-0.349066, -0.243328
-0.349066, -0.243328
-0.349066, -0.243328
-0.349066, -0.243328
-0.349066, -0.243328
-0.349066, -0.243328
-0.349066, -0.243328
-0.349066, -0.243328
-0.349066, -0.243328
-0.349066, -0.243328
-0.349066, -0.243328
-0.349066, -0.243328
-0.349066, -0.243328
-0.349066, -0.243328
-0.349066, -0.243328
-0.349066, -0.243424
-0.349066, -0.243328
-0.349066, -0.243328
-0.349066, -0.243328
-0.349066, -0.243328
-0.349066, -0.243328
-0.349066, -0.243328
-0.349066, -0.243328
-0.349066, -0.243328
-0.349066, -0.243328
-0.349066, -0.243328
-0.349066, -0.243328
-0.349066, -0.243328
-0.349066, -0.243328
-0.349066, -0.243328
-0.349066, -0.243328
-0.349066, -0.243328
-0.349066, -0.243328
-0.349066, -0.243328
-0.349066, -0.243328
-0.349066, -0.243328
-0.349066, -0.243328
-0.349066, -0.243328
-0.349066, -0.243328
-0.349066, -0.243328
-0.349066, -0.243328
-0.349066, -0.243328
-0.349066, -0.243424
-0.349066, -0.243424
-0.349066, -0.243328
-0.349066, -0.243328
-0.349066, -0.243328
-0.349066, -0.243328
-0.349066, -0.243328
-0.349066, -0.243328
-0.349065, -0.243328
-0.349062, -0.243328
-0.349054, -0.243328
-0.349039, -0.243328
-0.349013, -0.243328
-0.348976, -0.243328
-0.348924, -0.243328
-0.348856, -0.243328
-0.348769, -0.243328
-0.348662, -0.243328
-0.348532, -0.243328
-0.348378, -0.243328
-0.348198, -0.243328
-0.347991, -0.243328
-0.347754, -0.243328
-0.347486, -0.243328
-0.347186, -0.243328
-0.346852, -0.243232
-0.346483, -0.243137
-0.346078, -0.243041
-0.345635, -0.242849
-0.345153, -0.242465
-0.344631, -0.241986
-0.344068, -0.241603
-0.343463, -0.241123
-0.342815, -0.240644
-0.342123, -0.239973
-0.341386, -0.239397
-0.340604, -0.238726
-0.339777, -0.238151
-0.338902, -0.237576
-0.33798, -0.236713
-0.33701, -0.23585
-0.335992, -0.234891
-0.334925, -0.23422
-0.333809, -0.233453
-0.332644, -0.232207
-0.331428, -0.231152
-0.330163, -0.229906
-0.328848, -0.229043
-0.327482, -0.228084
-0.326066, -0.226646
-0.3246, -0.225112
-0.323084, -0.22377
-0.321517, -0.223003
-0.319899, -0.222044
-0.318232, -0.220414
-0.316515, -0.218497
-0.314748, -0.217155
-0.312932, -0.216292
-0.311067, -0.215141
-0.309153, -0.213607
-0.30719, -0.21121
-0.30518, -0.209677
-0.303122, -0.208622
-0.301018, -0.20728
-0.298867, -0.205266
-0.296669, -0.202774
-0.294427, -0.200473
-0.29214, -0.198268
